Task	DPR	Question	Model	Inference Time (s)
1	False	0	Mistral-7B-Instruct-v0.2	5.10
1	False	1	Mistral-7B-Instruct-v0.2	4.64
1	False	2	Mistral-7B-Instruct-v0.2	4.74
1	False	3	Mistral-7B-Instruct-v0.2	3.27
1	False	4	Mistral-7B-Instruct-v0.2	4.10
1	False	5	Mistral-7B-Instruct-v0.2	3.96
1	False	6	Mistral-7B-Instruct-v0.2	3.22
1	False	7	Mistral-7B-Instruct-v0.2	5.93
1	False	8	Mistral-7B-Instruct-v0.2	4.73
1	False	9	Mistral-7B-Instruct-v0.2	4.99
1	False	10	Mistral-7B-Instruct-v0.2	5.97
1	False	11	Mistral-7B-Instruct-v0.2	4.15
1	False	12	Mistral-7B-Instruct-v0.2	4.64
1	False	13	Mistral-7B-Instruct-v0.2	5.94
1	False	14	Mistral-7B-Instruct-v0.2	3.34
1	False	15	Mistral-7B-Instruct-v0.2	4.54
1	False	16	Mistral-7B-Instruct-v0.2	4.12
1	False	17	Mistral-7B-Instruct-v0.2	4.54
1	False	18	Mistral-7B-Instruct-v0.2	5.77
1	False	19	Mistral-7B-Instruct-v0.2	3.14
1	False	20	Mistral-7B-Instruct-v0.2	3.89
1	False	21	Mistral-7B-Instruct-v0.2	6.80
1	False	22	Mistral-7B-Instruct-v0.2	3.13
1	False	23	Mistral-7B-Instruct-v0.2	6.64
1	False	24	Mistral-7B-Instruct-v0.2	3.7
1	False	25	Mistral-7B-Instruct-v0.2	4.82
1	False	26	Mistral-7B-Instruct-v0.2	5.1
1	False	27	Mistral-7B-Instruct-v0.2	5.9
1	False	28	Mistral-7B-Instruct-v0.2	3.50
1	False	29	Mistral-7B-Instruct-v0.2	4.66
1	False	30	Mistral-7B-Instruct-v0.2	3.28
1	False	31	Mistral-7B-Instruct-v0.2	4.0
1	False	32	Mistral-7B-Instruct-v0.2	3.40
1	False	33	Mistral-7B-Instruct-v0.2	4.4
1	False	34	Mistral-7B-Instruct-v0.2	4.8
1	False	35	Mistral-7B-Instruct-v0.2	6.23
1	False	36	Mistral-7B-Instruct-v0.2	3.98
1	False	37	Mistral-7B-Instruct-v0.2	4.99
1	False	38	Mistral-7B-Instruct-v0.2	4.52
1	False	39	Mistral-7B-Instruct-v0.2	4.24
1	False	40	Mistral-7B-Instruct-v0.2	3.60
1	False	41	Mistral-7B-Instruct-v0.2	5.0
1	False	42	Mistral-7B-Instruct-v0.2	4.2
1	False	43	Mistral-7B-Instruct-v0.2	4.89
1	False	44	Mistral-7B-Instruct-v0.2	3.41
1	False	45	Mistral-7B-Instruct-v0.2	6.53
1	False	46	Mistral-7B-Instruct-v0.2	4.75
1	False	47	Mistral-7B-Instruct-v0.2	4.22
1	False	48	Mistral-7B-Instruct-v0.2	5.22
1	False	49	Mistral-7B-Instruct-v0.2	7.10
1	False	50	Mistral-7B-Instruct-v0.2	5.26
1	True	0	Mistral-7B-Instruct-v0.2	2.81
1	True	1	Mistral-7B-Instruct-v0.2	4.17
1	True	2	Mistral-7B-Instruct-v0.2	2.88
1	True	3	Mistral-7B-Instruct-v0.2	1.13
1	True	4	Mistral-7B-Instruct-v0.2	2.95
1	True	5	Mistral-7B-Instruct-v0.2	2.46
1	True	6	Mistral-7B-Instruct-v0.2	1.41
1	True	7	Mistral-7B-Instruct-v0.2	3.86
1	True	8	Mistral-7B-Instruct-v0.2	3.91
1	True	9	Mistral-7B-Instruct-v0.2	2.80
1	True	10	Mistral-7B-Instruct-v0.2	2.50
1	True	11	Mistral-7B-Instruct-v0.2	3.78
1	True	12	Mistral-7B-Instruct-v0.2	1.26
1	True	13	Mistral-7B-Instruct-v0.2	3.65
1	True	14	Mistral-7B-Instruct-v0.2	3.47
1	True	15	Mistral-7B-Instruct-v0.2	1.94
1	True	16	Mistral-7B-Instruct-v0.2	2.49
1	True	17	Mistral-7B-Instruct-v0.2	2.32
1	True	18	Mistral-7B-Instruct-v0.2	2.25
1	True	19	Mistral-7B-Instruct-v0.2	1.58
1	True	20	Mistral-7B-Instruct-v0.2	1.60
1	True	21	Mistral-7B-Instruct-v0.2	3.96
1	True	22	Mistral-7B-Instruct-v0.2	3.40
1	True	23	Mistral-7B-Instruct-v0.2	5.69
1	True	24	Mistral-7B-Instruct-v0.2	2.80
1	True	25	Mistral-7B-Instruct-v0.2	1.95
1	True	26	Mistral-7B-Instruct-v0.2	2.76
1	True	27	Mistral-7B-Instruct-v0.2	2.8
1	True	28	Mistral-7B-Instruct-v0.2	1.53
1	True	29	Mistral-7B-Instruct-v0.2	0.80
1	True	30	Mistral-7B-Instruct-v0.2	2.23
1	True	31	Mistral-7B-Instruct-v0.2	2.78
1	True	32	Mistral-7B-Instruct-v0.2	3.82
1	True	33	Mistral-7B-Instruct-v0.2	1.10
1	True	34	Mistral-7B-Instruct-v0.2	0.38
1	True	35	Mistral-7B-Instruct-v0.2	3.39
1	True	36	Mistral-7B-Instruct-v0.2	2.94
1	True	37	Mistral-7B-Instruct-v0.2	2.90
1	True	38	Mistral-7B-Instruct-v0.2	1.72
1	True	39	Mistral-7B-Instruct-v0.2	1.52
1	True	40	Mistral-7B-Instruct-v0.2	1.90
1	True	41	Mistral-7B-Instruct-v0.2	2.29
1	True	42	Mistral-7B-Instruct-v0.2	5.47
1	True	43	Mistral-7B-Instruct-v0.2	2.12
1	True	44	Mistral-7B-Instruct-v0.2	1.43
1	True	45	Mistral-7B-Instruct-v0.2	5.98
1	True	46	Mistral-7B-Instruct-v0.2	2.29
1	True	47	Mistral-7B-Instruct-v0.2	7.84
1	True	48	Mistral-7B-Instruct-v0.2	3.88
1	True	49	Mistral-7B-Instruct-v0.2	4.70
1	True	50	Mistral-7B-Instruct-v0.2	1.42
1	True	0	vicuna-7b-v1.5-16k	2.72
1	True	1	vicuna-7b-v1.5-16k	2.36
1	True	2	vicuna-7b-v1.5-16k	1.18
1	True	3	vicuna-7b-v1.5-16k	1.98
1	True	4	vicuna-7b-v1.5-16k	1.34
1	True	5	vicuna-7b-v1.5-16k	1.22
1	True	6	vicuna-7b-v1.5-16k	1.21
1	True	7	vicuna-7b-v1.5-16k	1.76
1	True	8	vicuna-7b-v1.5-16k	1.81
1	True	9	vicuna-7b-v1.5-16k	1.99
1	True	10	vicuna-7b-v1.5-16k	2.36
1	True	11	vicuna-7b-v1.5-16k	1.19
1	True	12	vicuna-7b-v1.5-16k	1.11
1	True	13	vicuna-7b-v1.5-16k	1.00
1	True	14	vicuna-7b-v1.5-16k	1.05
1	True	15	vicuna-7b-v1.5-16k	1.34
1	True	16	vicuna-7b-v1.5-16k	1.28
1	True	17	vicuna-7b-v1.5-16k	1.91
1	True	18	vicuna-7b-v1.5-16k	1.31
1	True	19	vicuna-7b-v1.5-16k	1.17
1	True	20	vicuna-7b-v1.5-16k	0.64
1	True	21	vicuna-7b-v1.5-16k	0.85
1	True	22	vicuna-7b-v1.5-16k	1.10
1	True	23	vicuna-7b-v1.5-16k	1.31
1	True	24	vicuna-7b-v1.5-16k	1.53
1	True	25	vicuna-7b-v1.5-16k	1.27
1	True	26	vicuna-7b-v1.5-16k	2.37
1	True	27	vicuna-7b-v1.5-16k	0.60
1	True	28	vicuna-7b-v1.5-16k	0.73
1	True	29	vicuna-7b-v1.5-16k	0.84
1	True	30	vicuna-7b-v1.5-16k	0.83
1	True	31	vicuna-7b-v1.5-16k	1.24
1	True	32	vicuna-7b-v1.5-16k	1.13
1	True	33	vicuna-7b-v1.5-16k	1.03
1	True	34	vicuna-7b-v1.5-16k	0.82
1	True	35	vicuna-7b-v1.5-16k	1.37
1	True	36	vicuna-7b-v1.5-16k	1.06
1	True	37	vicuna-7b-v1.5-16k	1.16
1	True	38	vicuna-7b-v1.5-16k	0.71
1	True	39	vicuna-7b-v1.5-16k	1.03
1	True	40	vicuna-7b-v1.5-16k	0.72
1	True	41	vicuna-7b-v1.5-16k	1.09
1	True	42	vicuna-7b-v1.5-16k	0.61
1	True	43	vicuna-7b-v1.5-16k	0.53
1	True	44	vicuna-7b-v1.5-16k	0.82
1	True	45	vicuna-7b-v1.5-16k	1.89
1	True	46	vicuna-7b-v1.5-16k	1.05
1	True	47	vicuna-7b-v1.5-16k	1.52
1	True	48	vicuna-7b-v1.5-16k	0.79
1	True	49	vicuna-7b-v1.5-16k	3.61
1	True	50	vicuna-7b-v1.5-16k	0.71
1	False	0	vicuna-7b-v1.5-16k	7.77
1	False	1	vicuna-7b-v1.5-16k	8.36
1	False	2	vicuna-7b-v1.5-16k	3.86
1	False	3	vicuna-7b-v1.5-16k	4.16
1	False	4	vicuna-7b-v1.5-16k	3.95
1	False	5	vicuna-7b-v1.5-16k	3.53
1	False	6	vicuna-7b-v1.5-16k	3.89
1	False	7	vicuna-7b-v1.5-16k	6.41
1	False	8	vicuna-7b-v1.5-16k	4.25
1	False	9	vicuna-7b-v1.5-16k	4.38
1	False	10	vicuna-7b-v1.5-16k	5.61
1	False	11	vicuna-7b-v1.5-16k	3.27
1	False	12	vicuna-7b-v1.5-16k	3.78
1	False	13	vicuna-7b-v1.5-16k	5.82
1	False	14	vicuna-7b-v1.5-16k	3.54
1	False	15	vicuna-7b-v1.5-16k	3.65
1	False	16	vicuna-7b-v1.5-16k	4.08
1	False	17	vicuna-7b-v1.5-16k	5.00
1	False	18	vicuna-7b-v1.5-16k	3.30
1	False	19	vicuna-7b-v1.5-16k	3.69
1	False	20	vicuna-7b-v1.5-16k	3.56
1	False	21	vicuna-7b-v1.5-16k	3.59
1	False	22	vicuna-7b-v1.5-16k	4.05
1	False	23	vicuna-7b-v1.5-16k	8.91
1	False	24	vicuna-7b-v1.5-16k	5.84
1	False	25	vicuna-7b-v1.5-16k	4.60
1	False	26	vicuna-7b-v1.5-16k	5.29
1	False	27	vicuna-7b-v1.5-16k	3.81
1	False	28	vicuna-7b-v1.5-16k	3.71
1	False	29	vicuna-7b-v1.5-16k	4.08
1	False	30	vicuna-7b-v1.5-16k	3.78
1	False	31	vicuna-7b-v1.5-16k	4.18
1	False	32	vicuna-7b-v1.5-16k	3.67
1	False	33	vicuna-7b-v1.5-16k	4.08
1	False	34	vicuna-7b-v1.5-16k	3.67
1	False	35	vicuna-7b-v1.5-16k	4.62
1	False	36	vicuna-7b-v1.5-16k	3.80
1	False	37	vicuna-7b-v1.5-16k	4.29
1	False	38	vicuna-7b-v1.5-16k	3.75
1	False	39	vicuna-7b-v1.5-16k	3.83
1	False	40	vicuna-7b-v1.5-16k	3.67
1	False	41	vicuna-7b-v1.5-16k	4.23
1	False	42	vicuna-7b-v1.5-16k	3.61
1	False	43	vicuna-7b-v1.5-16k	3.56
1	False	44	vicuna-7b-v1.5-16k	3.78
1	False	45	vicuna-7b-v1.5-16k	5.76
1	False	46	vicuna-7b-v1.5-16k	4.63
1	False	47	vicuna-7b-v1.5-16k	4.63
1	False	48	vicuna-7b-v1.5-16k	6.98
1	False	49	vicuna-7b-v1.5-16k	3.44
1	False	50	vicuna-7b-v1.5-16k	3.72
